ID,auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90,loss
unimodal_densenet121_mura,74.3 (+/- 0.3),33.1 (+/- 0.3),66.9 (+/- 0.3),66.9 (+/- 0.3),67.0 (+/- 0.3),55.9 (+/- 0.9),90.0 (+/- 0.0),32.8 (+/- 1.5),58.5 (+/- 0.6)
unimodal_densenet121_pt_mura,83.1 (+/- 0.6),25.0 (+/- 0.7),75.0 (+/- 0.7),75.0 (+/- 0.7),75.0 (+/- 0.7),63.2 (+/- 1.9),90.0 (+/- 0.0),45.0 (+/- 3.1),49.8 (+/- 1.3)
